futex,read,newfstatat,munmap,openat,mmap,lseek,close,getdents64,ioctl,brk,mprotect,clone3,rt_sigaction,getrandom,rseq,pread64,rt_sigprocmask,readlink,open,unlink,set_robust_list,write,prctl,sched_setaffinity,getcwd,sched_getaffinity,dup,sysinfo,sched_get_priority_max,clock_nanosleep,sched_get_priority_min,madvise,access,mbind,set_tid_address,prlimit64,getpid,socket,arch_prctl,fstat,bind,fcntl,gettid,execve,uname,epoll_create1,name,rename,mkdir,link,rmdir,unlinkat
81,3912,22557,157,3071,818,3360,2014,482,1621,756,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_bigscience__bloom-560m_count.log,,,,,
82,3794,22557,121,3071,782,3317,2014,482,1621,754,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_rinna__japanese-gpt-neox-small_count.log,,,,,
82,4158,22557,286,3071,947,3508,2014,482,1621,755,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_Mercury7353__PyLlama3_count.log,,,,,
82,3587,22557,61,3071,721,3219,2014,482,1621,751,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_Heralax__llama-3-llamilitary_count.log,,,,,
83,3936,22557,190,3071,851,3382,2014,482,1621,754,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_llmware__bling-phi-3_count.log,,,,,
82,3667,22557,80,3071,740,3258,2014,482,1621,754,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_lamini__lamini_docs_finetuned_count.log,,,,,
81,3576,22557,61,3071,721,3216,2014,482,1621,750,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_pszemraj__opt-350m-email-generation_count.log,,,,,
82,3977,22557,253,3071,914,3422,2014,482,1621,752,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_flax-community__t5-recipe-generation_count.log,,,,,
82,3809,22557,110,3071,770,3337,2014,482,1621,761,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_GroNLP__gpt2-small-dutch_count.log,,,,,
82,4357,22557,206,3071,867,3526,2014,482,1621,785,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_MBZUAI__LaMini-GPT-774M_count.log,,,,,
81,4304,22557,181,3071,842,3580,2014,482,1621,773,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_bigscience__bloomz-7b1-mt_count.log,,,,,
81,3584,22557,61,3071,721,3218,2014,482,1621,750,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_rinna__youri-7b-chat_count.log,,,,,
83,3774,22557,109,3071,769,3301,2014,482,1621,753,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_TurkuNLP__gpt3-finnish-small_count.log,,,,,
81,3832,22557,110,3071,770,3369,2014,482,1621,762,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_ckiplab__gpt2-base-chinese_count.log,,,,,
83,3651,22557,90,3071,750,3253,2014,482,1621,749,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_hfl__chinese-llama-2-1.3b_count.log,,,,,
81,4027,22557,244,3071,905,3431,2014,482,1621,753,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_CobraMamba__mamba-gpt-3b_count.log,,,,,
81,3699,22557,97,3071,757,3278,2014,482,1621,761,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_bigscience__distill-bloom-1b3-10x_count.log,,,,,
81,3942,22557,172,3071,832,3382,2014,482,1621,794,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_llmware__slim-ner_count.log,,,,,
82,3977,22557,215,3071,876,3417,2014,482,1621,752,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_TinyLlama__TinyLlama-1.1B-intermediate-step-480k-1T_count.log,,,,,
87,3692,22557,86,3071,746,3268,2014,482,1621,755,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_Sakonii__distilgpt2-nepali_count.log,,,,,
82,3804,22557,110,3071,770,3320,2014,482,1621,761,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_Isotonic__gpt-human-assistant_count.log,,,,,
82,3584,22557,61,3071,721,3218,2014,482,1621,750,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_Heralax__Mistrilitary-7b_count.log,,,,,
84,3978,22557,216,3071,876,3418,2014,482,1621,752,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_TinyLlama__TinyLlama-1.1B-Chat-v0.4_count.log,,,,,
82,3895,22557,150,3071,810,3357,2014,482,1621,793,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_Doctor-Shotgun__TinyLlama-1.1B-32k-Instruct_count.log,,,,,
81,4233,22557,341,3071,1002,3512,2014,482,1621,753,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_openbmb__MiniCPM-2B-dpo-bf16_count.log,,,,,
81,4099,22557,158,3071,819,3424,2014,482,1621,773,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_postbot__gpt2-medium-emailgen_count.log,,,,,
81,4875,22557,350,3071,1011,3744,2014,482,1621,782,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_microsoft__BioGPT-Large_count.log,,,,,
81,3805,22557,111,3071,771,3320,2014,482,1621,761,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_succinctly__text2image-prompt-generator_count.log,,,,,
82,4099,22557,158,3071,819,3424,2014,482,1621,773,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_flax-community__gpt2-medium-indonesian_count.log,,,,,
82,4023,22557,244,3071,904,3427,2014,482,1621,753,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_metricspace__EntityAnonymization-3B-V0.9_count.log,,,,,
81,4030,22557,173,3071,833,3443,2014,482,1621,761,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_OpenNLPLab__HGRN-1B_count.log,,,,,
82,3587,22557,61,3071,721,3219,2014,482,1621,750,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_lightblue__suzume-llama-3-8B-japanese_count.log,,,,,
84,4536,22557,367,3071,1028,3646,2014,482,1621,778,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_HaoranWei__Vary-toy_count.log,,,,,
81,3775,22557,85,3071,745,3318,2014,482,1621,820,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_JulesBelveze__t5-small-headline-generator_count.log,,,,,
81,4290,22557,222,3071,883,3511,2014,482,1621,767,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_EleutherAI__pythia-2.8b-v0_count.log,,,,,
81,3704,22557,86,3071,746,3295,2014,482,1621,754,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_uer__gpt2-distil-chinese-cluecorpussmall_count.log,,,,,
81,4706,22557,254,3071,915,3719,2014,482,1621,801,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_codeparrot__codeparrot_count.log,,,,,
82,4002,22557,152,3071,812,3405,2014,482,1621,760,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_cerebras__Cerebras-GPT-590M_count.log,,,,,
82,4038,22557,157,3071,818,3386,2014,482,1621,760,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_mrm8488__bloom-560m-finetuned-the-stack-rust_count.log,,,,,
83,4099,22557,158,3071,819,3424,2014,482,1621,774,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_ingen51__DialoGPT-medium-GPT4_count.log,,,,,
81,3824,22557,110,3071,770,3369,2014,482,1621,761,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_arun-shankar__GPT2-RLHF-covid_count.log,,,,,
81,4028,22557,158,3071,819,3377,2014,482,1621,758,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_abacaj__starcoderbase-1b-sft_count.log,,,,,
81,4159,22557,286,3071,947,3509,2014,482,1621,755,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_wxjiao__alpaca-7b_count.log,,,,,
84,3584,22557,61,3071,721,3218,2014,482,1621,749,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_migtissera__Tess-Coder-7B-Mistral-v1.0_count.log,,,,,
83,3778,22557,110,3071,770,3306,2014,482,1621,753,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_ckandemir__solidity-generator_count.log,,,,,
83,4745,22557,350,3071,1011,3614,2014,482,1621,777,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_facebook__xglm-4.5B_count.log,,,,,
81,3579,22557,61,3071,721,3218,2014,482,1621,750,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_chuxin-llm__Chuxin-1.6B-1M_count.log,,,,,
82,4162,22557,158,3071,819,3509,2014,482,1621,759,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_Langboat__bloom-389m-zh_count.log,,,,,
82,3976,22557,182,3071,843,3404,2014,482,1621,756,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_EleutherAI__pythia-410m-deduped_count.log,,,,,
82,3921,22557,142,3071,802,3350,2014,482,1621,756,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_EleutherAI__pythia-1b-deduped_count.log,,,,,
81,4099,22557,182,3071,843,3424,2014,482,1621,760,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_Kirili4ik__ruDialoGpt3-medium-finetuned-telegram_count.log,,,,,
81,4228,22557,158,3071,819,3553,2014,482,1621,774,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_ml6team__gpt-2-medium-conditional-quote-generator_count.log,,,,,
81,3832,22557,110,3071,770,3387,2014,482,1621,762,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_satvikag__chatbot_count.log,,,,,
83,4099,22557,158,3071,819,3424,2014,482,1621,774,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_cahya__gpt2-medium-indonesian-story_count.log,,,,,
82,4551,22557,182,3071,843,3704,2014,482,1621,831,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_mrm8488__bloom-6b3-8bit_count.log,,,,,
81,4290,22557,222,3071,883,3511,2014,482,1621,767,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_databricks__dolly-v2-3b_count.log,,,,,
82,3800,22557,134,3071,794,3322,2014,482,1621,764,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_heegyu__kogpt-j-base_count.log,,,,,
83,3950,22557,73,3071,734,3407,2014,482,1621,896,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_ncfrey__ChemGPT-19M_count.log,,,,,
82,3804,22557,110,3071,770,3320,2014,482,1621,762,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_jerteh__gpt2-vrabac_count.log,,,,,
83,3689,22557,80,3071,740,3279,2014,482,1621,760,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_rinna__japanese-gpt2-xsmall_count.log,,,,,
83,3581,22557,61,3071,721,3219,2014,482,1621,751,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_eryk-mazus__polka-1.1b_count.log,,,,,
82,3804,22557,110,3071,770,3320,2014,482,1621,760,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_MBZUAI__LaMini-GPT-124M_count.log,,,,,
82,3886,22557,158,3071,818,3359,2014,482,1621,756,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_RUCAIBox__Erya_count.log,,,,,
81,4304,22557,181,3071,842,3580,2014,482,1621,774,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_bigscience__bloomz-7b1_count.log,,,,,
82,4705,22557,405,3071,1066,3696,2014,482,1621,832,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_OmniSVG__OmniSVG_count.log,,,,,
82,3579,22557,61,3071,721,3217,2014,482,1621,751,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_line-corporation__japanese-large-lm-1.7b-instruction-sft_count.log,,,,,
81,3580,22557,61,3071,722,3218,2014,482,1621,753,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_IDEA-CCNL__Randeng-Deltalm-362M-En-Zh_count.log,,,,,
81,4802,22557,317,3071,978,3801,2014,482,1621,817,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_mrm8488__mamba-coder_count.log,,,,,
81,3607,22557,76,3071,736,3232,2014,482,1621,750,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_JackFram__llama-68m_count.log,,,,,
81,4257,22557,230,3071,891,3558,2014,482,1621,765,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_AlexWortega__rugpt-neo-1.3b_count.log,,,,,
82,4160,22557,205,3071,866,3414,2014,482,1621,761,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_facebook__incoder-1B_count.log,,,,,
81,3791,22557,134,3071,794,3307,2014,482,1621,753,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_asafaya__kanarya-750m_count.log,,,,,
82,3823,22557,136,3071,796,3332,2014,482,1621,754,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_Yuang__unilm-base-chinese-news-sum_count.log,,,,,
82,3962,22557,209,3071,870,3409,2014,482,1621,754,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_openbmb__cpm-bee-5b_count.log,,,,,
82,3879,22557,182,3071,842,3349,2014,482,1621,751,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_infly__OpenCoder-1.5B-Base_count.log,,,,,
81,3698,22557,62,3071,722,3281,2014,482,1621,757,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_Maykeye__TinyLLama-v0_count.log,,,,,
81,3977,22557,216,3071,876,3417,2014,482,1621,752,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_TinyLlama__TinyLlama-1.1B-step-50K-105b_count.log,,,,,
81,3987,22557,158,3071,818,3383,2014,482,1621,758,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_SkunkworksAI__PlatyPhi-1.5B_count.log,,,,,
82,4304,22557,181,3071,842,3580,2014,482,1621,774,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_bigscience__bloomz-7b1-p3_count.log,,,,,
81,3804,22557,110,3071,770,3320,2014,482,1621,761,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_vicgalle__gpt2-alpaca-gpt4_count.log,,,,,
84,4092,22557,158,3071,819,3417,2014,482,1621,773,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_stockmark__gpt-neox-japanese-1.4b_count.log,,,,,
82,3804,22557,110,3071,770,3320,2014,482,1621,761,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_codeparrot__codeparrot-small_count.log,,,,,
