name,likes,downloads
M-FAC/bert-mini-finetuned-qqp,0,1
M-FAC/bert-mini-finetuned-sst2,0,6
M-FAC/bert-tiny-finetuned-mrpc,0,698
M-FAC/bert-tiny-finetuned-qnli,0,3
M-FAC/bert-tiny-finetuned-qqp,0,4
M-FAC/bert-tiny-finetuned-sst2,0,91
M47Labs/arabert_multiclass_news,0,3
M47Labs/binary_classification_arabic,0,2
M47Labs/italian_news_classification_headlines,0,1
MICADEE/autonlp-imdb-sentiment-analysis2-7121569,0,8
MINYOUNG/distilbert-base-uncased-finetuned-cola,0,5
Maha/OGBV-gender-bert-hi-en-hasoc20a-fin,0,3
Maha/OGBV-gender-indicbert-ta-eacl_finals,0,3
Maha/OGBV-gender-twtrobertabase-en-davidson,0,2
Maha/OGBV-gender-twtrobertabase-en-founta_final,0,3
Maha/OGBV-gender-twtrobertabase-en-trac1,0,3
Maha/hi-const21-hibert_final,0,3
Majed/internet2,0,2
MarioPenguin/finetuned-model,0,10
MarshallCharles/bartlargemnli,0,1
Maunish/kgrouping-roberta-large,0,3
MelissaTESSA/distilbert-base-uncased-finetuned-cola,0,4
MhF/distilbert-base-uncased-distilled-clinc,0,5
MhF/distilbert-base-uncased-finetuned-clinc,0,4
MhF/distilbert-base-uncased-finetuned-emotion,0,5
MiBo/SABERT,0,4
MiBo/SADistilGPT2,0,4
MickyMike/0-GPT2SP-appceleratorstudio,0,8
MickyMike/0-GPT2SP-aptanastudio,0,9
MickyMike/0-GPT2SP-bamboo,0,7
MickyMike/0-GPT2SP-clover,0,7
MickyMike/0-GPT2SP-datamanagement,0,9
MickyMike/0-GPT2SP-duracloud,0,9
MickyMike/0-GPT2SP-jirasoftware,0,8
MickyMike/0-GPT2SP-mesos,0,9
MickyMike/0-GPT2SP-moodle,0,8
MickyMike/0-GPT2SP-mule,0,7
MickyMike/0-GPT2SP-mulestudio,0,9
MickyMike/0-GPT2SP-springxd,0,11
MickyMike/0-GPT2SP-talenddataquality,0,7
MickyMike/0-GPT2SP-talendesb,0,8
MickyMike/0-GPT2SP-titanium,0,10
MickyMike/0-GPT2SP-usergrid,0,9
MickyMike/00-GPT2SP-appceleratorstudio-aptanastudio,0,9
MickyMike/00-GPT2SP-appceleratorstudio-titanium,0,9
MickyMike/00-GPT2SP-aptanastudio-titanium,0,8
MickyMike/00-GPT2SP-mesos-usergrid,0,8
MickyMike/00-GPT2SP-mule-mulestudio,0,7
MickyMike/00-GPT2SP-mulestudio-mule,0,6
MickyMike/00-GPT2SP-titanium-appceleratorstudio,0,8
MickyMike/00-GPT2SP-usergrid-mesos,0,7
MickyMike/000-GPT2SP-appceleratorstudio-mule,0,6
MickyMike/000-GPT2SP-appceleratorstudio-mulestudio,0,8
MickyMike/000-GPT2SP-clover-usergrid,0,7
MickyMike/000-GPT2SP-mule-titanium,0,7
MickyMike/000-GPT2SP-mulestudio-titanium,0,7
MickyMike/000-GPT2SP-talenddataquality-appceleratorstudio,0,7
MickyMike/000-GPT2SP-talenddataquality-aptanastudio,0,7
MickyMike/000-GPT2SP-talendesb-mesos,0,7
MickyMike/1-GPT2SP-appceleratorstudio,0,7
MickyMike/1-GPT2SP-aptanastudio,0,9
MickyMike/1-GPT2SP-bamboo,0,7
MickyMike/1-GPT2SP-clover,0,8
MickyMike/1-GPT2SP-datamanagement,0,8
MickyMike/1-GPT2SP-duracloud,0,7
MickyMike/1-GPT2SP-jirasoftware,0,8
MickyMike/1-GPT2SP-mesos,0,7
MickyMike/1-GPT2SP-moodle,0,7
MickyMike/1-GPT2SP-mule,0,8
MickyMike/1-GPT2SP-mulestudio,0,7
MickyMike/1-GPT2SP-springxd,0,7
MickyMike/1-GPT2SP-talenddataquality,0,8
MickyMike/1-GPT2SP-talendesb,0,7
MickyMike/1-GPT2SP-titanium,0,7
MickyMike/1-GPT2SP-usergrid,0,6
MickyMike/11-GPT2SP-appceleratorstudio-aptanastudio,0,7
MickyMike/11-GPT2SP-appceleratorstudio-titanium,0,7
MickyMike/11-GPT2SP-aptanastudio-titanium,0,8
MickyMike/11-GPT2SP-mesos-usergrid,0,8
MickyMike/11-GPT2SP-mule-mulestudio,0,7
MickyMike/11-GPT2SP-mulestudio-mule,0,6
MickyMike/11-GPT2SP-titanium-appceleratorstudio,0,7
MickyMike/11-GPT2SP-usergrid-mesos,0,7
MickyMike/111-GPT2SP-appceleratorstudio-mule,0,8
MickyMike/111-GPT2SP-appceleratorstudio-mulestudio,0,7
MickyMike/111-GPT2SP-clover-usergrid,0,8
MickyMike/111-GPT2SP-mule-titanium,0,6
MickyMike/111-GPT2SP-mulestudio-titanium,0,8
MickyMike/111-GPT2SP-talenddataquality-appceleratorstudio,0,7
MickyMike/111-GPT2SP-talenddataquality-aptanastudio,0,7
MickyMike/111-GPT2SP-talendesb-mesos,0,8
MickyMike/2-GPT2SP-appceleratorstudio,0,7
MickyMike/2-GPT2SP-aptanastudio,0,7
MickyMike/2-GPT2SP-bamboo,0,7
MickyMike/2-GPT2SP-clover,0,8
MickyMike/2-GPT2SP-datamanagement,0,6
MickyMike/2-GPT2SP-duracloud,0,9
MickyMike/2-GPT2SP-jirasoftware,0,6
MickyMike/2-GPT2SP-mesos,0,7
MickyMike/2-GPT2SP-moodle,0,8
MickyMike/2-GPT2SP-mule,0,7
MickyMike/2-GPT2SP-mulestudio,0,8
MickyMike/2-GPT2SP-springxd,0,8
MickyMike/2-GPT2SP-talenddataquality,0,7
MickyMike/2-GPT2SP-talendesb,0,8
MickyMike/2-GPT2SP-titanium,0,6
MickyMike/2-GPT2SP-usergrid,0,8
MickyMike/22-GPT2SP-appceleratorstudio-aptanastudio,0,7
MickyMike/22-GPT2SP-appceleratorstudio-titanium,0,8
MickyMike/22-GPT2SP-aptanastudio-titanium,0,8
MickyMike/22-GPT2SP-mesos-usergrid,0,7
MickyMike/22-GPT2SP-mule-mulestudio,0,8
MickyMike/22-GPT2SP-mulestudio-mule,0,7
MickyMike/22-GPT2SP-titanium-appceleratorstudio,0,8
MickyMike/22-GPT2SP-usergrid-mesos,0,7
MickyMike/222-GPT2SP-appceleratorstudio-mule,0,7
MickyMike/222-GPT2SP-appceleratorstudio-mulestudio,0,8
MickyMike/222-GPT2SP-clover-usergrid,0,7
MickyMike/222-GPT2SP-mule-titanium,0,8
MickyMike/222-GPT2SP-mulestudio-titanium,0,9
MickyMike/222-GPT2SP-talenddataquality-appceleratorstudio,0,7
MickyMike/222-GPT2SP-talenddataquality-aptanastudio,0,8
MickyMike/222-GPT2SP-talendesb-mesos,0,8
MickyMike/6-GPT2SP-appceleratorstudio,0,7
MickyMike/6-GPT2SP-aptanastudio,0,8
MickyMike/6-GPT2SP-bamboo,0,7
MickyMike/6-GPT2SP-clover,0,8
MickyMike/6-GPT2SP-datamanagement,0,8
MickyMike/6-GPT2SP-duracloud,0,7
MickyMike/6-GPT2SP-jirasoftware,0,7
MickyMike/6-GPT2SP-mesos,0,8
MickyMike/6-GPT2SP-moodle,0,5
MickyMike/6-GPT2SP-mule,0,6
MickyMike/6-GPT2SP-mulestudio,0,8
MickyMike/6-GPT2SP-springxd,0,7
MickyMike/6-GPT2SP-talenddataquality,0,6
MickyMike/6-GPT2SP-talendesb,0,7
MickyMike/6-GPT2SP-titanium,0,7
MickyMike/6-GPT2SP-usergrid,0,8
MickyMike/66-GPT2SP-appceleratorstudio-aptanastudio,0,5
MickyMike/66-GPT2SP-appceleratorstudio-titanium,0,8
MickyMike/66-GPT2SP-aptanastudio-titanium,0,7
MickyMike/66-GPT2SP-mesos-usergrid,0,7
MickyMike/66-GPT2SP-mule-mulestudio,0,8
MickyMike/66-GPT2SP-mulestudio-mule,0,8
MickyMike/66-GPT2SP-titanium-appceleratorstudio,0,7
MickyMike/66-GPT2SP-usergrid-mesos,0,7
MickyMike/666-GPT2SP-appceleratorstudio-mule,0,7
MickyMike/666-GPT2SP-appceleratorstudio-mulestudio,0,3
MickyMike/666-GPT2SP-clover-usergrid,0,3
MickyMike/666-GPT2SP-mule-titanium,0,2
MickyMike/666-GPT2SP-mulestudio-titanium,0,4
MickyMike/666-GPT2SP-talenddataquality-appceleratorstudio,0,4
MickyMike/666-GPT2SP-talenddataquality-aptanastudio,0,4
MickyMike/666-GPT2SP-talendesb-mesos,0,4
MickyMike/7-GPT2SP-appceleratorstudio,0,4
MickyMike/7-GPT2SP-aptanastudio,0,4
MickyMike/7-GPT2SP-bamboo,0,2
MickyMike/7-GPT2SP-clover,0,4
MickyMike/7-GPT2SP-datamanagement,0,4
MickyMike/7-GPT2SP-duracloud,0,4
MickyMike/7-GPT2SP-jirasoftware,0,4
MickyMike/7-GPT2SP-mesos,0,3
MickyMike/7-GPT2SP-moodle,0,4
MickyMike/7-GPT2SP-mule,0,4
MickyMike/7-GPT2SP-mulestudio,0,2
MickyMike/7-GPT2SP-springxd,0,4
MickyMike/7-GPT2SP-talenddataquality,0,4
MickyMike/7-GPT2SP-talendesb,0,3
MickyMike/7-GPT2SP-titanium,0,5
MickyMike/7-GPT2SP-usergrid,0,4
MickyMike/77-GPT2SP-appceleratorstudio-aptanastudio,0,3
MickyMike/77-GPT2SP-appceleratorstudio-titanium,0,2
MickyMike/77-GPT2SP-aptanastudio-titanium,0,2
MickyMike/77-GPT2SP-mesos-usergrid,0,3
MickyMike/77-GPT2SP-mule-mulestudio,0,4
MickyMike/77-GPT2SP-mulestudio-mule,0,4
MickyMike/77-GPT2SP-titanium-appceleratorstudio,0,3
MickyMike/77-GPT2SP-usergrid-mesos,0,4
MickyMike/777-GPT2SP-appceleratorstudio-mule,0,4
MickyMike/777-GPT2SP-appceleratorstudio-mulestudio,0,0
MickyMike/777-GPT2SP-clover-usergrid,0,3
MickyMike/777-GPT2SP-mule-titanium,0,2
MickyMike/777-GPT2SP-mulestudio-titanium,0,3
MickyMike/777-GPT2SP-talenddataquality-appceleratorstudio,0,4
MickyMike/777-GPT2SP-talendesb-mesos,0,4
Mihneo/romanian_bert_news,0,2
MisbaHF/distilbert-base-uncased-finetuned-cola,0,4
MoaazZaki/machathonmodel,0,2
Monsia/autonlp-tweets-classification-23044997,0,3
MoritzLaurer/DeBERTa-v3-small-mnli-fever-docnli-ling-2c,0,207
MoritzLaurer/MiniLM-L6-mnli,0,50
Motahar/distilbert-sst2-mahtab,0,4
Mustang/BERT_responsible_AI,0,5
MutazYoune/Absa_AspectSentiment_hotels,0,5
NDugar/1epochv3,0,3
NDugar/2epochv3mlni,0,6
NDugar/finetuned-bert-mrpc,0,4
NDugar/v3large-1epoch,0,5
NDugar/v3large-2epoch,0,3
NTUYG/DeepSCC-RoBERTa,0,9
NYTK/sentiment-hts2-xlm-roberta-hungarian,0,7
NaliniK/distilbert-base-uncased-finetuned-cola,0,4
NathanZhu/GabHateCorpusTrained,0,4
NbAiLab/nb-bert-base-sami-relevant,0,7
Nenma/romanian-bert-fake-news,0,8
NikolajW/BaselineThesis,0,4
Omar95farag/distilbert-base-uncased-distilled-clinc,0,5
Omar95farag/distilbert-base-uncased-finetuned-clinc,0,3
Parsa/BBB_prediction_classification_IUPAC,0,2
Parsa/BBB_prediction_classification_SMILES,0,347
Peterard/distilbert_feature_classifier,0,2
Pratibha/xlm-roberta-base-finetuned-marc-en,0,2
Proggleb/roberta-base-bne-finetuned-amazon_reviews_multi,0,6
Qiaozhen/fake-news-detector,0,10
RameshArvind/roberta_long_answer_nq,0,3
Raychanan/chinese-roberta-wwm-ext-FineTuned-Binary,0,3
RecordedFuture/Swedish-Sentiment-Violence,0,4
Rexhaif/rubert-base-srl,0,10
ReynaQuita/twitter_disaster_bart,0,2
ReynaQuita/twitter_disaster_bert_large,0,2
ReynaQuita/twitter_disaster_distilbert,0,2
Riad/finetuned-bert-mrpc,0,2
Ritvik/nlp_model,0,3
Ritvik/nlp_model_mini,0,3
Roberta55/deberta-base-mnli-finetuned-cola,0,4
Ruizhou/bert-base-uncased-finetuned-mrpc,0,1
Ruizhou/bert-base-uncased-finetuned-rte,0,3
SEISHIN/distilbert-base-uncased-finetuned-mnli,0,6
Sakil/IMDB_URDUSENTIMENT_MODEL,0,4
Sakil/imdbsentdistilbertmodel,0,2
Sebb/german-nli-base-thesis,0,1
Sebb/german-nli-large-thesis,0,1
SetFit/MiniLM-L12-H384-uncased__sst2__all-train,0,3
SetFit/deberta-v3-base__sst2__all-train,0,1
SetFit/deberta-v3-large__sst2__train-16-0,0,3
SetFit/deberta-v3-large__sst2__train-16-1,0,3
SetFit/deberta-v3-large__sst2__train-16-2,0,7
SetFit/deberta-v3-large__sst2__train-16-3,0,6
SetFit/deberta-v3-large__sst2__train-16-4,0,3
SetFit/deberta-v3-large__sst2__train-16-5,0,3
SetFit/deberta-v3-large__sst2__train-16-6,0,5
SetFit/deberta-v3-large__sst2__train-16-7,0,2
SetFit/deberta-v3-large__sst2__train-16-8,0,2
SetFit/deberta-v3-large__sst2__train-16-9,0,6
SetFit/deberta-v3-large__sst2__train-32-0,0,7
SetFit/deberta-v3-large__sst2__train-32-1,0,2
SetFit/deberta-v3-large__sst2__train-8-0,0,12
SetFit/deberta-v3-large__sst2__train-8-1,0,1
SetFit/deberta-v3-large__sst2__train-8-2,0,1
SetFit/deberta-v3-large__sst2__train-8-3,0,1
SetFit/deberta-v3-large__sst2__train-8-4,0,1
SetFit/deberta-v3-large__sst2__train-8-5,0,1
SetFit/deberta-v3-large__sst2__train-8-6,0,2
SetFit/deberta-v3-large__sst2__train-8-7,0,1
SetFit/deberta-v3-large__sst2__train-8-8,0,2
SetFit/deberta-v3-large__sst2__train-8-9,0,1
SetFit/distilbert-base-uncased__TREC-QC__all-train,0,2
SetFit/distilbert-base-uncased__hate_speech_offensive__all-train,0,1
SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-0,0,2
SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0,1
SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-2,0,2
SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-3,0,2
SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-4,0,1
SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-5,0,1
SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-6,0,2
SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-7,0,3
SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-8,0,4
SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-9,0,1
SetFit/distilbert-base-uncased__hate_speech_offensive__train-32-0,0,2
SetFit/distilbert-base-uncased__hate_speech_offensive__train-32-1,0,2
SetFit/distilbert-base-uncased__hate_speech_offensive__train-32-2,0,1
SetFit/distilbert-base-uncased__hate_speech_offensive__train-32-3,0,1
SetFit/distilbert-base-uncased__hate_speech_offensive__train-32-4,0,1
SetFit/distilbert-base-uncased__hate_speech_offensive__train-32-5,0,1
SetFit/distilbert-base-uncased__hate_speech_offensive__train-32-6,0,3
SetFit/distilbert-base-uncased__hate_speech_offensive__train-32-7,0,1
SetFit/distilbert-base-uncased__hate_speech_offensive__train-32-8,0,4
SetFit/distilbert-base-uncased__hate_speech_offensive__train-8-1,0,1
SetFit/distilbert-base-uncased__hate_speech_offensive__train-8-2,0,2
SetFit/distilbert-base-uncased__hate_speech_offensive__train-8-3,0,1
SetFit/distilbert-base-uncased__hate_speech_offensive__train-8-4,0,0
SetFit/distilbert-base-uncased__hate_speech_offensive__train-8-5,0,7
SetFit/distilbert-base-uncased__hate_speech_offensive__train-8-6,0,2
SetFit/distilbert-base-uncased__hate_speech_offensive__train-8-7,0,1
SetFit/distilbert-base-uncased__hate_speech_offensive__train-8-8,0,2
SetFit/distilbert-base-uncased__hate_speech_offensive__train-8-9,0,2
SetFit/distilbert-base-uncased__sst2__all-train,0,7
SetFit/distilbert-base-uncased__sst2__train-16-0,0,2
SetFit/distilbert-base-uncased__sst2__train-16-1,0,1
SetFit/distilbert-base-uncased__sst2__train-16-2,0,1
SetFit/distilbert-base-uncased__sst2__train-16-3,0,1
SetFit/distilbert-base-uncased__sst2__train-16-4,0,0
SetFit/distilbert-base-uncased__sst2__train-16-5,0,1
SetFit/distilbert-base-uncased__sst2__train-16-6,0,1
SetFit/distilbert-base-uncased__sst2__train-16-7,0,1
SetFit/distilbert-base-uncased__sst2__train-16-8,0,2
SetFit/distilbert-base-uncased__sst2__train-16-9,0,1
SetFit/distilbert-base-uncased__sst2__train-32-0,0,4
SetFit/distilbert-base-uncased__sst2__train-32-1,0,1
SetFit/distilbert-base-uncased__sst2__train-32-2,0,1
SetFit/distilbert-base-uncased__sst2__train-32-3,0,1
SetFit/distilbert-base-uncased__sst2__train-32-4,0,1
SetFit/distilbert-base-uncased__sst2__train-32-5,0,1
SetFit/distilbert-base-uncased__sst2__train-32-6,0,1
SetFit/distilbert-base-uncased__sst2__train-32-7,0,1
SetFit/distilbert-base-uncased__sst2__train-32-8,0,1
SetFit/distilbert-base-uncased__sst2__train-32-9,0,1
SetFit/distilbert-base-uncased__sst2__train-8-0,0,1
SetFit/distilbert-base-uncased__sst2__train-8-1,0,1
SetFit/distilbert-base-uncased__sst2__train-8-2,0,1
SetFit/distilbert-base-uncased__sst2__train-8-3,0,1
SetFit/distilbert-base-uncased__sst2__train-8-4,0,1
SetFit/distilbert-base-uncased__sst2__train-8-5,0,1
SetFit/distilbert-base-uncased__sst2__train-8-6,0,4
SetFit/distilbert-base-uncased__sst2__train-8-7,0,1
SetFit/distilbert-base-uncased__sst2__train-8-8,0,1
SetFit/distilbert-base-uncased__sst2__train-8-9,0,1
SetFit/distilbert-base-uncased__sst5__all-train,0,14
SetFit/distilbert-base-uncased__subj__all-train,0,5
SetFit/distilbert-base-uncased__subj__train-8-0,0,1
SetFit/distilbert-base-uncased__subj__train-8-1,0,1
SetFit/distilbert-base-uncased__subj__train-8-2,0,5
SetFit/distilbert-base-uncased__subj__train-8-3,0,1
SetFit/distilbert-base-uncased__subj__train-8-4,0,1
SetFit/distilbert-base-uncased__subj__train-8-5,0,1
SetFit/distilbert-base-uncased__subj__train-8-6,0,1
SetFit/distilbert-base-uncased__subj__train-8-7,0,1
SetFit/distilbert-base-uncased__subj__train-8-8,0,1
SetFit/distilbert-base-uncased__subj__train-8-9,0,1
SetFit/distilbert-base-uncased__tweet_eval_stance__all-train,0,1
Shuvam/autonlp-college_classification-164469,0,2
s-nlp/roberta_first_toxicity_classifier,0,13
s-nlp/roberta_toxicity_classifier_v1,0,21
Smone55/autonlp-au_topics-452311620,0,5
Sofiascope/amazon-fine-tuned-wm,0,1
Sofiascope/amazon-fine-tuned,0,1
SongRb/distilbert-base-uncased-finetuned-cola,0,2
Tahsin/distilbert-base-uncased-finetuned-emotion,0,4
TehranNLP/albert-base-v2-mnli,0,12
TehranNLP/bert-base-cased-mnli,0,4
TehranNLP/bert-base-uncased-mnli,0,6
TehranNLP/electra-base-mnli,0,4
TehranNLP/xlnet-base-cased-mnli,0,4
TehranNLP-org/albert-base-v2-avg-mnli,0,3
TehranNLP-org/bert-base-cased-avg-cola,0,2
TehranNLP-org/bert-base-cased-avg-mnli,0,3
TehranNLP-org/bert-base-uncased-avg-cola-2e-5-21,0,2
TehranNLP-org/bert-base-uncased-avg-cola-2e-5-42,0,3
TehranNLP-org/bert-base-uncased-avg-cola-2e-5-63,0,2
TehranNLP-org/bert-base-uncased-avg-mnli-2e-5-21,0,4
TehranNLP-org/bert-base-uncased-avg-mnli-2e-5-63,0,4
TehranNLP-org/bert-base-uncased-avg-mnli,0,2
TehranNLP-org/bert-base-uncased-avg-sst2-2e-5-21,0,3
TehranNLP-org/bert-base-uncased-avg-sst2-2e-5-42,0,2
TehranNLP-org/bert-base-uncased-avg-sst2-2e-5-63,0,2
TehranNLP-org/bert-base-uncased-cls-hatexplain,0,6
TehranNLP-org/bert-base-uncased-cls-mnli,0,6
TehranNLP-org/bert-base-uncased-cls-sst2,0,74
TehranNLP-org/bert-base-uncased-mrpc-2e-5-42,0,2
TehranNLP-org/bert-base-uncased-qqp-2e-5-42,0,3
TehranNLP-org/electra-base-ag-news-2e-5-42,0,2
TehranNLP-org/electra-base-avg-cola-2e-5-21,0,3
TehranNLP-org/electra-base-avg-cola-2e-5-42,0,3
TehranNLP-org/electra-base-avg-cola-2e-5-63,0,2
TehranNLP-org/electra-base-avg-cola,0,2
TehranNLP-org/electra-base-avg-mnli-2e-5-21,0,3
TehranNLP-org/electra-base-avg-mnli-2e-5-63,0,2
TehranNLP-org/electra-base-avg-mnli-2e-5,0,3
TehranNLP-org/electra-base-avg-mnli,0,3
TehranNLP-org/electra-base-avg-qqp-2e-5-42,0,2
TehranNLP-org/electra-base-avg-sst2-2e-5-21,0,2
TehranNLP-org/electra-base-avg-sst2-2e-5-42,0,2
TehranNLP-org/electra-base-avg-sst2-2e-5-63,0,2
TehranNLP-org/electra-base-mrpc-2e-5-42,0,1
TehranNLP-org/electra-base-qqp-2e-5-42,0,2
TehranNLP-org/electra-base-qqp-cls-2e-5-42,0,3
TehranNLP-org/roberta-base-mnli-2e-5-42,0,2
TehranNLP-org/roberta-base-mrpc-2e-5-42,0,2
TehranNLP-org/roberta-base-qqp-2e-5-42,0,5
TehranNLP-org/xlnet-base-cased-avg-cola-2e-5-21,0,2
TehranNLP-org/xlnet-base-cased-avg-cola-2e-5-42,0,3
TehranNLP-org/xlnet-base-cased-avg-cola-2e-5-63,0,3
TehranNLP-org/xlnet-base-cased-avg-mnli-2e-5-63,0,3
TehranNLP-org/xlnet-base-cased-avg-mnli-2e-5,0,6
TehranNLP-org/xlnet-base-cased-avg-mnli,0,4
TehranNLP-org/xlnet-base-cased-avg-sst2-2e-5-21,0,2
TehranNLP-org/xlnet-base-cased-avg-sst2-2e-5-42,0,5
TehranNLP-org/xlnet-base-cased-avg-sst2-2e-5-63,0,3
Tejas3/Xlnet_base_80,0,3
Tejas3/distillbert_110_uncased_movie_genre,0,2
Tejas3/distillbert_110_uncased_v1,0,2
Tejas3/distillbert_base_uncased_80_all,0,2
Tejas3/distillbert_base_uncased_80_equal,0,20
The-Data-Hound/bacteria_lamp_network,0,3
TomO/xlm-roberta-base-finetuned-marc-en,0,3
tomwetherell/TOMFINSEN,0,2
TransQuest/monotransquest-da-en_de-wiki,0,5
TransQuest/monotransquest-da-et_en-wiki,0,3
TransQuest/monotransquest-da-ro_en-wiki,0,4
TransQuest/monotransquest-da-si_en-wiki,0,6
aXhyra/irony_trained_42,0,3
aXhyra/irony_trained_final,0,4
aXhyra/presentation_emotion_1234567,0,4
aXhyra/presentation_emotion_31415,0,5
aXhyra/presentation_emotion_42,0,3
aXhyra/presentation_hate_1234567,0,3
aXhyra/presentation_hate_31415,0,7
aXhyra/presentation_hate_42,0,3
aXhyra/presentation_irony_1234567,0,2
aXhyra/presentation_irony_31415,0,3
aXhyra/presentation_irony_42,0,2
aXhyra/presentation_sentiment_1234567,0,5
aXhyra/presentation_sentiment_31415,0,4
aXhyra/presentation_sentiment_42,0,3
aXhyra/sentiment_temp,0,2
aXhyra/sentiment_trained,0,4
aXhyra/sentiment_trained_1234567,0,3
aXhyra/sentiment_trained_31415,0,3
aXhyra/sentiment_trained_42,0,4
aXhyra/test-model,0,2
aXhyra/test_emotion_trained_test,0,5
aXhyra/test_hate_trained_test,0,2
aXhyra/test_irony_trained_test,0,3
abdelkader/distilbert-base-uncased-distilled-clinc,0,2
addy88/perceiver_imdb,0,3
adelevie/distilbert-gsa-eula-opp,0,3
adit94/relevancy_classifier,0,2
toaster515/cs410finetune1,0,5
adresgezgini/Finetuned-SentiBERtr-Pos-Neg-Reviews,0,6
ageron/distilbert-emotion,0,2
agiagoulas/bert-pss,0,6
ainize/klue-bert-base-re,0,15
airKlizz/gbert-base-germeval21-toxic-with-data-augmentation,0,1
airKlizz/gbert-base-germeval21-toxic,0,4
airKlizz/xlm-roberta-base-germeval21-toxic-with-task-specific-pretraining-and-data-augmentation,0,1
airKlizz/xlm-roberta-base-germeval21-toxic-with-task-specific-pretraining,0,0
airKlizz/xlm-roberta-base-germeval21-toxic,0,1
ajrae/bert-base-uncased-finetuned-cola,0,2
akahana/indonesia-emotion-distilbert,0,4
akahana/indonesia-emotion-roberta-small,0,6
akahana/indonesia-emotion-roberta,0,21
akahana/indonesia-sentiment-roberta,0,5
akdeniz27/bert-turkish-text-classification,0,10
akilesh96/autonlp-mrcooper_text_classification-529614927,0,4
akshara23/Terra-Classification,0,1
akshara23/distilbert-base-uncased-finetuned-cola,0,2
albertvillanova/autonlp-indic_glue-multi_class_classification-1e67664-1311135,0,7
alecmullen/autonlp-group-classification-441411446,0,3
alex6095/SanctiMolyTopic,0,1
alexander-karpov/bert-eatable-classification-en-ru,0,1
ali2066/bert_base_uncased_itr0_0.0001_all_01_03_2022-14_08_15,0,1
ali2066/bert_base_uncased_itr0_0.0001_webDiscourse_01_03_2022-16_08_12,0,3
ali2066/distilbert-base-uncased-finetuned-sst-2-english-finetuned-argmining,0,8
ali2066/finetuned_sentence_itr0_0.0002_all_27_02_2022-17_55_43,0,1
ali2066/finetuned_sentence_itr0_0.0002_all_27_02_2022-19_11_17,0,2
ali2066/finetuned_sentence_itr0_0.0002_all_27_02_2022-22_30_53,0,1
ali2066/finetuned_sentence_itr0_0.0002_editorials_27_02_2022-19_42_36,0,1
ali2066/finetuned_sentence_itr0_0.0002_essays_27_02_2022-19_33_10,0,1
ali2066/finetuned_sentence_itr0_0.0002_webDiscourse_27_02_2022-19_25_06,0,2
